Gmt time,Open,High,Low,Close,Volume
01.01.2023 00:00:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:05:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:10:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:15:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:20:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:25:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:30:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:35:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:40:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:45:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:50:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 00:55:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:00:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:05:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:10:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:15:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:20:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:25:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:30:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:35:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:40:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:45:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:50:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 01:55:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:00:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:05:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:10:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:15:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:20:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:25:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:30:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:35:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:40:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:45:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:50:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 02:55:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 03:00:00.000,131.072,131.072,131.072,131.072,0
01.01.2023 03:05:00.000,131.072,131.072,131.072,131.072,0
